Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT),TF (nT),TF20pt, Tempature (°F)
12/7/2021 21:54,70.230377,-148.382812,6870.35,-32066.52,-64582.97,72432.19883,72624.37493,999
12/7/2021 21:55,70.230377,-148.382812,7003.8,-32044.65,-64629.56,72476.84343,72628.24064,999
12/7/2021 21:56,70.230377,-148.382812,6911.28,-32126.43,-64507.04,72394.96878,72628.06735,999
12/7/2021 21:58,70.230377,-148.382812,6678.62,-31996.29,-64569.18,72370.88879,72646.23791,999
12/7/2021 21:59,70.230377,-148.382812,6713.54,-32110.6,-64690.02,72532.48196,72666.06739,999
12/7/2021 22:00,70.230377,-148.382812,6730.1,-32146.35,-65024.74,72848.46516,72698.52959,999
12/7/2021 22:01,70.230377,-148.382812,6742.31,-32170.71,-64936.38,72781.50021,72722.38482,999
12/7/2021 22:02,70.230377,-148.382812,6596.9,-32144.86,-65206.68,72998.09745,72743.49703,999
12/7/2021 22:03,70.230377,-148.382812,6563.5,-32118.74,-65029.1,72824.974,72779.19145,999
12/7/2021 22:05,70.230377,-148.382812,6595.55,-32205.86,-65057.72,72891.87629,72811.12101,999
12/7/2021 22:06,70.230377,-148.382812,6489.8,-32104.32,-64957.02,72747.64129,72834.92685,999
12/7/2021 22:07,70.230377,-148.382812,6518.81,-32121.55,-65103.34,72888.50209,72859.58402,999
12/7/2021 22:08,70.230377,-148.382812,6615.93,-32207.9,-65144.28,72971.88889,72879.75335,999
12/7/2021 22:09,70.230377,-148.382812,6555.84,-32218.28,-65350.52,73155.22585,72897.40237,999
12/7/2021 22:10,70.230377,-148.382812,6542.46,-32089.72,-65366.28,73111.58919,72912.02777,999
12/7/2021 22:12,70.230377,-148.382812,6514.74,-32164.41,-65295.62,73078.78693,72910.88285,999
12/7/2021 22:13,70.230377,-148.382812,6707.69,-32217.21,-65226.69,73057.94148,72918.8972,999
12/7/2021 22:14,70.230377,-148.382812,6525.06,-32218.51,-65026.04,72862.84837,72909.21337,999
12/7/2021 22:15,70.230377,-148.382812,6528.82,-32281.59,-65130.81,72984.58025,72906.29955,999
12/7/2021 22:16,70.230377,-148.382812,6472.42,-32201.3,-65064.09,72884.50967,72899.49199,999
12/7/2021 22:17,70.230377,-148.382812,6504.17,-32211.29,-65124.11,72945.32976,72916.70908,999
12/7/2021 22:19,70.230377,-148.382812,6391.82,-32065.57,-65020.06,72778.18591,72931.48213,999
12/7/2021 22:20,70.230377,-148.382812,6436.36,-32092.91,-64921.59,72706.22016,72950.90056,999
12/7/2021 22:21,70.230377,-148.382812,6557.11,-32194.32,-64975.99,72810.3647,72960.85766,999
12/7/2021 22:22,70.230377,-148.382812,6562.01,-32159.68,-65010.96,72826.71154,72973.3884,999
12/7/2021 22:23,70.230377,-148.382812,6435.22,-32066.8,-65189.29,72933.77304,72979.79791,999
12/7/2021 22:24,70.230377,-148.382812,6563.85,-32101.37,-65025.47,72814.10462,72986.25114,999
12/7/2021 22:26,70.230377,-148.382812,6572.54,-32130.47,-64960.38,72769.61147,73014.632,999
12/7/2021 22:27,70.230377,-148.382812,6488.39,-32197.93,-64927.5,72762.53265,73017.23818,999
12/7/2021 22:28,70.230377,-148.382812,6653.79,-32211.24,-65254,73074.76596,73036.13283,999
12/7/2021 22:29,70.230377,-148.382812,6640.35,-32190.19,-65371.46,73169.18998,73051.81163,999
12/7/2021 22:30,70.230377,-148.382812,6658.8,-32440.06,-65438.38,73340.83915,73075.6513,999
12/7/2021 22:31,70.230377,-148.382812,6447.96,-32492.38,-65437.54,73344.41074,73098.28837,999
12/7/2021 22:33,70.230377,-148.382812,6523.4,-32361.96,-65500.56,73349.67323,73107.38767,999
12/7/2021 22:34,70.230377,-148.382812,6345.49,-32290.3,-65386.5,73200.56762,73115.26108,999
12/7/2021 22:35,70.230377,-148.382812,6433.35,-32351.36,-65325.3,73180.55279,73121.23782,999
12/7/2021 22:36,70.230377,-148.382812,6514.55,-32306.63,-65587.41,73402.08481,73132.38761,999
12/7/2021 22:37,70.230377,-148.382812,6513.48,-32330.59,-65163.54,73034.09763,73142.59429,999
12/7/2021 22:38,70.230377,-148.382812,6641.96,-32314.98,-65392.95,73243.50807,73152.0275,999
