Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2022-03-14 06:04:54,39.992413,-105.247726,51735.07,9237.75,50903.65
2022-03-14 06:05:04,39.992413,-105.247726,52109.86,9269.00,51278.88
2022-03-14 06:05:14,39.992413,-105.247726,52214.65,9297.07,51380.29
2022-03-14 06:05:24,39.992413,-105.247726,52219.55,9264.67,51391.12
2022-03-14 06:05:34,39.992413,-105.247726,51964.13,9148.03,51152.56
2022-03-14 06:05:44,39.992413,-105.247726,52101.35,9008.70,51316.61
2022-03-14 06:05:54,39.992413,-105.247726,52015.89,9098.68,51213.94
2022-03-14 06:06:04,39.992413,-105.247726,52144.66,9053.40,51352.71
2022-03-14 06:06:14,39.992413,-105.247726,52129.41,9074.48,51333.51
2022-03-14 06:06:24,39.992413,-105.247726,52464.03,9138.51,51662.00
2022-03-14 06:06:34,39.992413,-105.247726,52134.86,8925.69,51365.12
2022-03-14 06:06:44,39.992413,-105.247726,52198.47,9193.06,51382.56
2022-03-14 06:06:54,39.992413,-105.247726,51842.02,8949.81,51063.65
2022-03-14 06:07:04,39.992413,-105.247726,51902.96,9088.97,51100.95
2022-03-14 06:07:14,39.992413,-105.247726,52176.09,9039.74,51387.04
2022-03-14 06:07:24,39.992413,-105.247726,51684.23,8937.11,50905.68
2022-03-14 06:07:34,39.992413,-105.247726,51659.92,9014.11,50867.41
2022-03-14 06:07:44,39.992413,-105.247726,52233.83,9132.53,51429.27
2022-03-14 06:07:54,39.992413,-105.247726,52028.15,9003.30,51243.23
2022-03-14 06:08:04,39.992413,-105.247726,51493.62,8985.21,50703.64
2022-03-14 06:08:14,39.992413,-105.247726,51787.19,9158.82,50970.87
2022-03-14 06:08:24,39.992413,-105.247726,52327.43,9186.38,51514.75
2022-03-14 06:08:34,39.992413,-105.247726,52172.54,8900.54,51407.72
2022-03-14 06:08:44,39.992413,-105.247726,51744.62,8976.82,50960.01
2022-03-14 06:08:54,39.992413,-105.247726,52113.04,9150.34,51303.41
2022-03-14 06:09:04,39.992405,-105.247665,50538.77,22558.96,45224.57
2022-03-14 06:09:14,39.992409,-105.247681,50356.63,21291.44,45634.03
2022-03-14 06:09:24,39.992409,-105.247711,50711.93,23104.15,45143.08
2022-03-14 06:09:34,39.992401,-105.247696,50132.23,22224.99,44936.52
2022-03-14 06:09:44,39.992413,-105.247704,50599.91,22785.77,45179.20
2022-03-14 06:09:54,39.992401,-105.247696,49696.52,21510.68,44799.93
2022-03-14 06:10:04,39.992397,-105.247696,49942.32,21996.31,44837.45
2022-03-14 06:10:14,39.992401,-105.247704,50344.68,22209.14,45181.20
2022-03-14 06:10:24,39.992405,-105.247696,50180.92,22244.50,44981.18
2022-03-14 06:10:34,39.992401,-105.247704,50134.16,21959.97,45068.77
2022-03-14 06:10:44,39.992393,-105.247704,50509.39,22749.09,45096.31
2022-03-14 06:10:54,39.992386,-105.247696,51002.28,23980.00,45013.24
2022-03-14 06:11:04,39.992378,-105.247681,50426.16,23152.46,44796.89
2022-03-14 06:11:14,39.992390,-105.247681,50585.82,22706.95,45203.09
2022-03-14 06:11:24,39.992401,-105.247688,50651.22,23468.24,44886.39
2022-03-14 06:11:34,39.992405,-105.247688,50326.45,23047.07,44739.07
2022-03-14 06:11:44,39.992409,-105.247688,50598.63,22697.57,45222.13
2022-03-14 06:11:54,39.992416,-105.247696,50494.09,23253.33,44821.16
2022-03-14 06:12:04,39.992409,-105.247696,49844.84,22089.93,44682.69
2022-03-14 06:12:14,39.992416,-105.247688,50274.22,22990.24,44709.57
2022-03-14 06:12:24,39.992432,-105.247681,50281.84,23248.49,44584.43
2022-03-14 06:12:34,39.992439,-105.247681,50665.41,22750.56,45270.26
2022-03-14 06:12:44,39.992428,-105.247673,50514.46,22331.39,45310.27
2022-03-14 06:12:54,39.992416,-105.247681,50538.82,22848.72,45078.92
2022-03-14 06:13:04,39.992416,-105.247681,50331.84,22284.08,45129.97
2022-03-14 06:13:14,39.992405,-105.247681,50379.34,22948.85,44848.95
2022-03-14 06:13:24,39.992409,-105.247673,50417.95,23070.13,44830.11
2022-03-14 06:13:34,39.992420,-105.247681,50916.95,22962.66,45445.04
2022-03-14 06:13:44,39.992424,-105.247681,50714.90,23217.57,45088.20
2022-03-14 06:13:54,39.992443,-105.247665,50843.40,23591.40,45038.84
2022-03-14 06:14:04,39.992439,-105.247665,50711.88,22562.46,45416.19
2022-03-14 06:14:14,39.992428,-105.247665,50188.35,21893.24,45161.45
2022-03-14 06:14:24,39.992420,-105.247665,50657.50,25100.33,44001.77
2022-03-14 06:14:34,39.992405,-105.247658,50475.32,24655.88,44043.68
2022-03-14 06:14:44,39.992393,-105.247650,50678.06,24297.21,44473.72
2022-03-14 06:14:54,39.992405,-105.247665,51137.29,24398.73,44941.34
2022-03-14 06:15:04,39.992386,-105.247665,52167.18,24926.24,45826.81
2022-03-14 06:15:14,39.992401,-105.247688,56980.14,27066.46,50141.23
2022-03-14 06:15:24,39.992386,-105.247696,51579.76,24662.79,45301.42
2022-03-14 06:15:34,39.992393,-105.247688,52030.01,25495.09,45355.52
2022-03-14 06:15:44,39.992405,-105.247681,51641.42,25095.33,45133.81
2022-03-14 06:15:54,39.992424,-105.247696,50536.57,23151.99,44921.38
2022-03-14 06:16:04,39.992424,-105.247696,52036.53,25665.24,45266.93
2022-03-14 06:16:14,39.992416,-105.247696,52113.15,26222.37,45035.18
2022-03-14 06:16:24,39.992409,-105.247711,50332.72,24451.11,43994.61
2022-03-14 06:16:34,39.992405,-105.247711,52028.34,25841.20,45157.29
2022-03-14 06:16:44,39.992405,-105.247704,51502.22,26414.26,44212.73
2022-03-14 06:16:54,39.992409,-105.247696,49931.66,23857.41,43863.36
